study_ID,sample_ID,sample_type,characteristics,platform,normalization_method,annotation_database
GSE13507,GSM340537,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340538,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340539,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340540,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340541,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340543,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340544,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340545,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340546,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340605,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340606,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340607,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340608,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340609,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340610,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340611,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340612,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340613,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340614,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340615,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340616,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340617,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340618,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340619,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340620,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340621,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340622,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340623,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340624,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340625,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340626,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340627,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340628,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340629,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340630,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340631,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340632,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340633,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340634,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340635,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340636,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340637,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340638,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340639,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340640,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340641,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340642,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340643,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340644,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340645,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340646,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340647,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340648,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340649,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340650,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340651,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340652,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340653,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340654,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340655,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340656,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340657,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340658,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340659,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340660,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340661,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340662,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340663,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340664,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340665,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340666,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340667,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340668,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340669,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340670,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340671,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340672,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340673,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340674,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340675,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340676,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340677,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340678,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340679,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340680,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340681,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340682,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340683,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340684,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340685,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340686,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340687,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340688,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340689,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340690,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340691,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340692,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340693,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340694,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340695,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340696,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340697,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340698,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340699,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340700,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340701,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340702,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340703,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340704,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340705,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340706,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340707,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340708,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340709,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340710,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340711,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340712,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340713,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340714,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340715,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340716,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340717,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340718,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340719,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340720,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340721,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340722,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340723,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340724,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340725,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340726,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340727,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340728,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340729,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340730,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340731,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340732,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340733,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340734,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340735,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340736,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340737,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340738,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340739,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340740,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340741,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340742,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340743,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340744,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340745,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340746,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340747,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340748,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340749,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340750,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340751,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340752,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340753,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340754,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340755,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340756,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340757,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340758,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340759,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340760,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340761,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340762,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340763,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340764,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340765,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340766,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340767,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340768,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340769,tumor,MIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340770,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340771,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340772,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340773,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340774,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340775,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340776,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340777,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340778,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340779,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340780,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340781,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340782,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340783,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340784,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340785,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340786,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340787,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340788,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340789,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340790,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340791,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE13507,GSM340792,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE3167,GSM71019,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71020,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71021,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71022,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71023,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71024,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71025,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71026,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71027,non_tumor,non_cancer_individual,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71028,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71029,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71030,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71031,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71032,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71033,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71034,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71035,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71036,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71037,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71038,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71039,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71040,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71041,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71042,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71043,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71044,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71045,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71046,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71047,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71048,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71049,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71050,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71051,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71052,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71053,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71054,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71055,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71056,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71057,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71058,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71059,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71060,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71061,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71062,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71063,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71064,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71065,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71066,tumor,MIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71067,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE3167,GSM71068,tumor,NMIBC,GPL96,affy (rma),hgu133a.db
GSE37817,GSM340538,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340539,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
