"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"1","TUBA1C","84790",0.989796035392692,1,1,0.95243848429632,0.923007388092134,0.695652173913043,0.154015401540154,0.99999931899031,1,91.5564195503763
"2","DTL","51514",0.856423417162269,1,0.769119344271306,0.550736767854164,0.995671447196871,1,0.858085808580858,1,1,89.3158875554574
"3","CENPF","1063",0.857816579216226,0.937870365921633,0.762485227620808,0.461033518387501,1,1,0.99009900990099,0.999989632167842,1,87.7920355354111
"4","SLC52A2","79581",1,0.975479154952687,1,0.495382533099367,0.917792264232942,0.695652173913043,0,0.999990823491668,1,85.3048781730621
"5","TACC3","10460",0.843198724912744,0.895292706309742,0.728154223102103,0.422950472921096,0.997409821816602,1,0.66006600660066,0.99999666382157,1,85.0804974837429
"6","H2AX","3014",0.996292056435667,0.940888661648598,0.685781129947983,0.463733743445963,0.977244676227727,0.826086956521739,0.55005500550055,1,1,85.0228105532241
"7","RNASEH2A","10535",0.83668489168239,0.906078311708819,0.737954311285136,0.432461376687457,0.991499348109518,1,0.264026402640264,1,1,84.0657392732592
"8","SHMT2","6472",1,0.952544921774803,0.914146865032605,0.474369259223112,0.859382877009996,1,0.242024202420242,0.582055162995391,1,82.7321041733304
"9","SMC4","10051",0.882498469808876,0.746359692002724,0.802434370241257,0.299116479870696,0.919182963928727,1,0.968096809680968,0.999995030228661,1,82.3105244766099
"10","HMGB3","3149",0.809576346977019,1,0.662258101510939,0.583204010640318,1,0.695652173913043,0.088008800880088,0.999990599951682,1,81.891372692607
"11","MELK","9833",0.800012369676097,0.921848194208049,0.659819476737179,0.446541138942542,1,0.695652173913043,0.946094609460946,1,1,81.568485197874
"12","CDC20","991",1,0.893915653051255,0.735929675241028,0.421734349097678,1,1,1,0.305508926990362,1,81.4618767046857
"13","CKAP2L","150468",0.880960420390956,1,0.535151643659863,0.548476237396555,0.998800521512386,0.565217391304348,0.704070407040704,1,1,81.2078108051724
"14","SOX4","6659",0.922093213354647,0.877488539307939,0.759187997444312,0.407378040473895,0.918139939156888,1,0.022002200220022,0.844560866455504,1,81.0673510406476
"15","AURKB","9212",0.938204441528525,0.985323223711936,0.442271334535228,0.504545987189874,0.999495871360278,1,1,0.251182463216842,1,78.7929372334417
