"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","genes_presentes","n_genes_robustos","Database","category","subcategory"
"GO:0140014","mitotic nuclear division","48/718","276/16871",0.173913043478261,4.08647208429212,10.8998728766616,5.58905726378266e-17,2.49327844537344e-13,1.21026877532574e-13,"MKI67/PRICKLE1/CHEK1/KIF23/CENPE/CENPF/CDCA8/KIF2C/RACGAP1/NDC80/CDT1/UHRF1/BORA/SKA3/KIFC1/CCNB1/KIF4A/UBE2S/KIF15/AURKB/CENPA/ZWINT/SPAG5/ARHGEF10/NUSAP1/PRC1/NUF2/UBE2C/IGF2/MAD2L1/KIF14/BMP4/DLGAP5/NCAPG/TTK/TPX2/KNTC1/ANLN/DYNC1I1/NEK2/AURKA/SMC4/TRIP13/CDK1/CDC20/KIF11/FLNA/BUB1B",48,"MKI67, PRICKLE1, CHEK1, KIF23, CENPE, CENPF, CDCA8, KIF2C, RACGAP1, NDC80, CDT1, UHRF1, BORA, SKA3, KIFC1, CCNB1, KIF4A, UBE2S, KIF15, AURKB, CENPA, ZWINT, SPAG5, ARHGEF10, NUSAP1, PRC1, NUF2, UBE2C, IGF2, MAD2L1, KIF14, BMP4, DLGAP5, NCAPG, TTK, TPX2, KNTC1, ANLN, DYNC1I1, NEK2, AURKA, SMC4, TRIP13, CDK1, CDC20, KIF11, FLNA, BUB1B",48,"GO_BP",NA,NA
"GO:0098813","nuclear chromosome segregation","47/718","306/16871",0.15359477124183,3.60904928359459,9.71047429129128,1.64604101174083e-14,1.83574723834396e-11,8.91094841846024e-12,"GEM/PRICKLE1/FANCD2/KIF23/CENPE/CENPF/CDCA8/KIF2C/RACGAP1/NDC80/CDT1/UHRF1/ECT2/SKA3/KIFC1/CCNB1/KIF4A/KIF15/AURKB/CENPA/ZWINT/TACC3/SPAG5/ARHGEF10/NUSAP1/PRC1/NUF2/UBE2C/MAD2L1/MAP3K20/KIF14/DLGAP5/NCAPG/TTK/TPX2/KNTC1/TOP2A/DYNC1I1/NEK2/SMC4/PTTG1/TRIP13/CDK1/CDC20/KIF11/FLNA/BUB1B",47,"GEM, PRICKLE1, FANCD2, KIF23, CENPE, CENPF, CDCA8, KIF2C, RACGAP1, NDC80, CDT1, UHRF1, ECT2, SKA3, KIFC1, CCNB1, KIF4A, KIF15, AURKB, CENPA, ZWINT, TACC3, SPAG5, ARHGEF10, NUSAP1, PRC1, NUF2, UBE2C, MAD2L1, MAP3K20, KIF14, DLGAP5, NCAPG, TTK, TPX2, KNTC1, TOP2A, DYNC1I1, NEK2, SMC4, PTTG1, TRIP13, CDK1, CDC20, KIF11, FLNA, BUB1B",47,"GO_BP",NA,NA
"GO:0048285","organelle fission","58/718","455/16871",0.127472527472527,2.9952493189262,9.09624951402949,6.2256929873626e-14,5.55456328332491e-11,2.69625501108924e-11,"MKI67/PRICKLE1/CHEK1/FANCD2/KIF23/CENPE/CENPF/CDCA8/KIF2C/RACGAP1/NDC80/CDT1/UHRF1/LRRK2/BORA/SKA3/DCN/KIFC1/CCNB1/KIF4A/UBE2S/KIF15/MTFP1/AURKB/CENPA/ZWINT/SPIRE1/SPAG5/ARHGEF10/NUSAP1/PRC1/NUF2/UBE2C/RAD51AP1/IGF2/MAD2L1/KIF14/BMP4/DLGAP5/NCAPG/PPARG/TTK/TPX2/CORO1C/KNTC1/TOP2A/ANLN/DYNC1I1/NEK2/AURKA/SMC4/PTTG1/TRIP13/CDK1/CDC20/KIF11/FLNA/BUB1B",58,"MKI67, PRICKLE1, CHEK1, FANCD2, KIF23, CENPE, CENPF, CDCA8, KIF2C, RACGAP1, NDC80, CDT1, UHRF1, LRRK2, BORA, SKA3, DCN, KIFC1, CCNB1, KIF4A, UBE2S, KIF15, MTFP1, AURKB, CENPA, ZWINT, SPIRE1, SPAG5, ARHGEF10, NUSAP1, PRC1, NUF2, UBE2C, RAD51AP1, IGF2, MAD2L1, KIF14, BMP4, DLGAP5, NCAPG, PPARG, TTK, TPX2, CORO1C, KNTC1, TOP2A, ANLN, DYNC1I1, NEK2, AURKA, SMC4, PTTG1, TRIP13, CDK1, CDC20, KIF11, FLNA, BUB1B",58,"GO_BP",NA,NA
"R-HSA-1474244","Extracellular matrix organization","49/508","320/11089",0.153125,3.34252583661417,9.31680053811784,5.45809964138381e-14,6.35322798257076e-11,6.35322798257076e-11,"FBLN2/CTSG/JAM2/COL6A3/TPSAB1/SPP1/ACTG2/MMP12/TGFB3/SDC1/DCN/MFAP5/DDR2/A2M/LAMA4/MMP9/COL16A1/ITGA8/MMP10/COL6A2/DMD/TIMP2/BMP4/CEACAM6/CRTAP/LAMC3/ACTC1/ACTN1/COL4A6/SSPN/ADAMTS8/LUM/COL14A1/COL4A5/JAM3/COL6A1/P3H2/COL21A1/EMILIN1/SGCE/EFEMP1/SDC2/LTBP4/DTNA/ITGA5/MMP1/ACTA2/TNC/ADAMTS1",49,"FBLN2, CTSG, JAM2, COL6A3, TPSAB1, SPP1, ACTG2, MMP12, TGFB3, SDC1, DCN, MFAP5, DDR2, A2M, LAMA4, MMP9, COL16A1, ITGA8, MMP10, COL6A2, DMD, TIMP2, BMP4, CEACAM6, CRTAP, LAMC3, ACTC1, ACTN1, COL4A6, SSPN, ADAMTS8, LUM, COL14A1, COL4A5, JAM3, COL6A1, P3H2, COL21A1, EMILIN1, SGCE, EFEMP1, SDC2, LTBP4, DTNA, ITGA5, MMP1, ACTA2, TNC, ADAMTS1",49,"REACTOME",NA,NA
"GO:0007059","chromosome segregation","54/718","410/16871",0.131707317073171,3.09475507847,9.05295246026789,1.24425384414001e-13,9.25102733118096e-11,4.49056523926926e-11,"MKI67/GEM/PRICKLE1/FANCD2/KIF23/CENPE/CENPF/CDCA8/KIF2C/HJURP/RACGAP1/NDC80/CDT1/UHRF1/ECT2/SKA3/CENPM/KIFC1/CCNB1/KIF4A/CENPW/KIF15/AURKB/CENPA/ZWINT/TACC3/SPAG5/ARHGEF10/NUSAP1/PRC1/NUF2/UBE2C/CENPU/MAD2L1/MAP3K20/KIF14/DLGAP5/NCAPG/TTK/TPX2/KNTC1/TOP2A/DYNC1I1/NEK2/CENPN/SMC4/PTTG1/TRIP13/CDK1/STIL/CDC20/KIF11/FLNA/BUB1B",54,"MKI67, GEM, PRICKLE1, FANCD2, KIF23, CENPE, CENPF, CDCA8, KIF2C, HJURP, RACGAP1, NDC80, CDT1, UHRF1, ECT2, SKA3, CENPM, KIFC1, CCNB1, KIF4A, CENPW, KIF15, AURKB, CENPA, ZWINT, TACC3, SPAG5, ARHGEF10, NUSAP1, PRC1, NUF2, UBE2C, CENPU, MAD2L1, MAP3K20, KIF14, DLGAP5, NCAPG, TTK, TPX2, KNTC1, TOP2A, DYNC1I1, NEK2, CENPN, SMC4, PTTG1, TRIP13, CDK1, STIL, CDC20, KIF11, FLNA, BUB1B",54,"GO_BP",NA,NA
"GO:0090068","positive regulation of cell cycle process","38/718","235/16871",0.161702127659574,3.79954957624607,9.11151941342393,1.1207998094265e-12,5.5554310553907e-10,2.69667623858482e-10,"FEN1/EZH2/CCND2/KIF23/CDC7/CDCA8/RACGAP1/NDC80/CCNE1/ECT2/SKA3/CCNB1/DDR2/AURKB/E2F8/SPAG5/PLK4/NUSAP1/UBE2C/RAD51AP1/IGF2/MAD2L1/MAP3K20/KIF14/DLGAP5/NCAPG/SVIL/DYNC1I1/AURKA/SMC4/DTL/CDK1/STIL/CDC20/RRM2/UBE2E2/CCNE2/ADAMTS1",38,"FEN1, EZH2, CCND2, KIF23, CDC7, CDCA8, RACGAP1, NDC80, CCNE1, ECT2, SKA3, CCNB1, DDR2, AURKB, E2F8, SPAG5, PLK4, NUSAP1, UBE2C, RAD51AP1, IGF2, MAD2L1, MAP3K20, KIF14, DLGAP5, NCAPG, SVIL, DYNC1I1, AURKA, SMC4, DTL, CDK1, STIL, CDC20, RRM2, UBE2E2, CCNE2, ADAMTS1",38,"GO_BP",NA,NA
"GO:0055001","muscle cell development","29/718","142/16871",0.204225352112676,4.79872690180078,9.58385911485428,1.43466256554329e-12,6.40002970488861e-10,3.10665506588604e-10,"PRICKLE1/RGS2/CSRP1/SDC1/MEIS1/CCNB1/MYOM1/PRKD1/DMD/BIN1/BMP4/PGM5/KRT19/PDGFRA/TPM1/ACTC1/ACTN1/MYH3/SORBS2/FLNC/KLHL41/MYH11/ISL1/VEGFA/COL6A1/EDNRA/CDK1/TMOD1/KRT8",29,"PRICKLE1, RGS2, CSRP1, SDC1, MEIS1, CCNB1, MYOM1, PRKD1, DMD, BIN1, BMP4, PGM5, KRT19, PDGFRA, TPM1, ACTC1, ACTN1, MYH3, SORBS2, FLNC, KLHL41, MYH11, ISL1, VEGFA, COL6A1, EDNRA, CDK1, TMOD1, KRT8",29,"GO_BP",NA,NA
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","30/718","157/16871",0.191082802547771,4.48991359579866,9.26227068524952,3.58442682895101e-12,1.45364800763186e-09,7.05619060404542e-10,"PRICKLE1/KIF23/CENPE/CDCA8/RACGAP1/NDC80/UHRF1/BORA/KIFC1/CCNB1/KIF4A/KIF15/AURKB/CENPA/TACC3/ARHGEF10/NUSAP1/PRC1/NUF2/SAPCD2/DLGAP5/TTK/TPX2/STMN1/AURKA/CDK1/STIL/KIF11/FLNA/ILK",30,"PRICKLE1, KIF23, CENPE, CDCA8, RACGAP1, NDC80, UHRF1, BORA, KIFC1, CCNB1, KIF4A, KIF15, AURKB, CENPA, TACC3, ARHGEF10, NUSAP1, PRC1, NUF2, SAPCD2, DLGAP5, TTK, TPX2, STMN1, AURKA, CDK1, STIL, KIF11, FLNA, ILK",30,"GO_BP",NA,NA
"GO:0072001","renal system development","36/718","230/16871",0.156521739130435,3.6778248758629,8.62083923460481,1.18043923233223e-11,4.38828284619507e-09,2.13012779054124e-09,"PTCH1/PRICKLE1/EZH2/CENPF/LRRK2/MEF2C/SLIT2/SOX4/KANK2/PCSK5/MMP9/TFAP2A/ITGA8/FOXF1/SFRP1/IRX3/BMP4/OSR2/PDGFRA/ZBTB16/AQP1/TCF21/ACAT1/EPCAM/KCNJ8/PROM1/VEGFA/CD34/PDGFD/OSR1/EDNRA/SERPINF1/AGTR1/ALDH1A2/CD24/ACTA2",36,"PTCH1, PRICKLE1, EZH2, CENPF, LRRK2, MEF2C, SLIT2, SOX4, KANK2, PCSK5, MMP9, TFAP2A, ITGA8, FOXF1, SFRP1, IRX3, BMP4, OSR2, PDGFRA, ZBTB16, AQP1, TCF21, ACAT1, EPCAM, KCNJ8, PROM1, VEGFA, CD34, PDGFD, OSR1, EDNRA, SERPINF1, AGTR1, ALDH1A2, CD24, ACTA2",36,"GO_BP",NA,NA
"GO:0007088","regulation of mitotic nuclear division","25/718","120/16871",0.208333333333333,4.8952530176416,9.02815680060417,3.19971635007844e-11,1.09799497213076e-08,5.32980595368471e-09,"MKI67/CHEK1/CENPF/CDCA8/NDC80/BORA/SKA3/CCNB1/AURKB/ZWINT/NUSAP1/NUF2/UBE2C/IGF2/MAD2L1/BMP4/DLGAP5/TTK/KNTC1/DYNC1I1/NEK2/AURKA/TRIP13/CDC20/BUB1B",25,"MKI67, CHEK1, CENPF, CDCA8, NDC80, BORA, SKA3, CCNB1, AURKB, ZWINT, NUSAP1, NUF2, UBE2C, IGF2, MAD2L1, BMP4, DLGAP5, TTK, KNTC1, DYNC1I1, NEK2, AURKA, TRIP13, CDC20, BUB1B",25,"GO_BP",NA,NA
