"genes_presentes","n_vias","databases","mean_enrichment","best_padj"
"CCNB1",28,3,5.12261812910967,4.7323361269014e-07
"VEGFA",23,1,4.12225855765119,4.7323361269014e-07
"TPM1",22,3,4.19044733709783,4.7323361269014e-07
"SFRP1",21,1,3.38068017870154,5.44380171810198e-06
"CDK1",20,3,5.13385018756597,4.7323361269014e-07
"AURKB",19,2,3.92841205324186,0.000136912395471894
"MYH11",18,3,6.77076055237025,4.7323361269014e-07
"FLNA",18,1,3.31546338551145,2.56929839579735e-05
"CDC20",18,2,3.99864843202457,0.000136912395471894
"JUP",17,3,3.31533518619065,7.42410446433697e-06
"CENPF",16,1,4.06144560025498,0.000136912395471894
"TTK",16,2,4.16119577653725,0.000136912395471894
"ACTC1",15,3,4.75100005625084,4.7323361269014e-07
"PDGFRA",15,1,5.83627412932944,4.7323361269014e-07
"TRIP13",15,2,4.18929145885278,0.000136912395471894
"SLIT2",15,1,3.47340627913414,0.00231851920833015
"KRT19",14,2,6.88943733196116,4.7323361269014e-07
"LMOD1",14,3,4.63941993264927,4.7323361269014e-07
"DLGAP5",13,1,3.80508597273905,0.000136912395471894
"DDR2",13,2,3.66143385933626,0.00510435327770272
"TMOD1",12,3,4.36737344193548,4.7323361269014e-07
"FERMT2",12,1,3.34937125007823,5.44380171810198e-06
"ACTA2",12,2,5.72897040673001,2.56929839579735e-05
"CAV1",12,1,4.05183481595556,2.56929839579735e-05
"TPX2",12,1,2.99266789207657,0.000136912395471894
"UBE2C",12,1,3.81417023037701,0.000136912395471894
"CXCL12",12,1,3.71047820866923,0.00231851920833015
"KRT8",11,2,7.32010158237335,4.7323361269014e-07
"MYL9",11,3,5.14449011397898,4.7323361269014e-07
"RGS2",11,1,4.24668126240888,4.7323361269014e-07
"EPHA1",11,1,3.53641326345043,5.44380171810198e-06
"TGFB3",10,3,3.46564920931664,5.44380171810198e-06
"NCAPG",10,2,6.05399362299652,0.000136912395471894
"SMC4",10,2,6.05399362299652,0.000136912395471894
"SFRP2",10,1,2.87027043674934,0.00595575616861186
"ENO1",9,2,3.04849247516191,7.42410446433697e-06
"NUSAP1",9,1,3.97975772665515,0.000136912395471894
"CSRP1",8,2,4.87765539949161,4.7323361269014e-07
"BIN1",8,1,3.17700078840253,2.56929839579735e-05
"CD24",8,2,8.5004065813431,0.000119103417875782
"KRT14",8,2,6.91301044942031,0.000119103417875782
"KRT18",8,2,8.06521172423305,0.000119103417875782
"CNN1",7,2,6.84402532069465,5.44380171810198e-06
"EPCAM",7,2,9.00770908108157,0.000119103417875782
"MYADM",7,1,4.78554898098165,0.00231851920833015
"AQP1",7,2,4.46252888215837,0.00405288623741822
"AURKA",7,1,3.4283554126822,0.00593369271207468
"RARRES2",7,1,4.32455390251012,0.00642825267594999
"GAS6",7,1,3.94398532696098,0.00915932799059622
"FLNC",6,2,5.59448193602327,4.7323361269014e-07
"MEIS1",6,1,5.35790434214835,4.7323361269014e-07
"SORBS2",6,1,5.35790434214835,4.7323361269014e-07
