"Gene","Symbol","num_estudos","HedgesG_pool","SE_HedgesG","pval","FDR","I2","tau2","logFC_meta","SE_logFC_meta"
"596","BCL2",7,-2.66422554256132,0.238934606483392,7.12546643523855e-29,1.43563897737186e-24,0.000418099244542578,1.87031756266915e-06,-1.23440141148358,0.251757691927727
"1740","DLG2",6,-2.72172178601811,0.253463862398687,6.7413261531299e-27,6.79121196666306e-23,0.00103155159951068,4.60166880074546e-06,-0.930996981939494,0.156841265526697
"64506","CPEB1",6,-2.48142202017011,0.240881595194243,6.94301502874735e-25,4.66292889330672e-21,0.000523645901430854,1.99638276685468e-06,-0.852039659985179,0.161040024065556
"79974","CPED1",7,-2.39706588129033,0.23610653803206,3.23062345204918e-24,1.62726503279717e-20,0.000783804339415123,3.42382379935526e-06,-2.38452743305553,0.620400360252935
"7482","WNT2B",7,-2.32327750222496,0.229447380825917,4.2564423947855e-24,1.71517602740277e-20,0.000830848895950958,3.35828354539567e-06,-0.892054516831841,0.196520669943533
"79581","SLC52A2",7,2.25296229469792,0.226338337165617,2.42348359419476e-23,8.13805790930599e-20,0.000431006496780439,1.6894956679568e-06,1.04157826054548,0.21841521667569
"2023","ENO1",7,2.2637654896481,0.229222543131416,5.29863701616882e-23,1.52509912288242e-19,0.00113571316859819,4.52202434581356e-06,1.03258955094793,0.0959397728456905
"11047","ADRM1",7,2.15992190911455,0.224704406138853,7.09592580606609e-22,1.78710891425774e-18,0.00166810531993354,6.3287054663509e-06,0.714539673179603,0.13619022094963
"10212","DDX39A",6,2.3881593493102,0.249921407485365,1.2282073924249e-21,2.74954694917521e-18,0,0,1.17062923453366,0.188769344698853
"26472","PPP1R14B",7,2.12207565929796,0.224123111008643,2.84303676254154e-21,5.7281504691687e-18,0.000217103233285197,8.24022953996607e-07,0.978591833886828,0.163167891945256
"51042","ZNF593",7,2.03089054757783,0.219179187686791,1.93454597105669e-20,3.54338474771366e-17,0.000992182923848624,3.57284249082716e-06,0.914214990200963,0.204471692676365
"90293","KLHL13",6,-2.49567737020485,0.270668125820289,2.95902347357934e-20,4.96820041213971e-17,1.2260433004287,0.00588796822377036,-1.09174075298855,0.0961578305256379
"4857","NOVA1",6,-2.21540624803627,0.241621969508001,4.77896474518962e-20,7.4066601296985e-17,2.18786186341909e-05,8.71667368185246e-08,-1.03026709228979,0.32375741913343
"7434","VIPR2",6,-2.10431905628126,0.233957933589132,2.37453792317731e-19,3.41729929115546e-16,0.000489909300198124,1.76124015189536e-06,-0.909239187660856,0.236821834443672
"5121","PCP4",7,-2.12127058596617,0.238098682208339,5.13985955565467e-19,6.90385935515535e-16,0,0,-4.60345316803386,0.985978731679665
"11037","STON1",6,-2.05753695373222,0.232082779835743,7.6140696648655e-19,9.58801722548189e-16,0.000950651538330813,3.44163840054864e-06,-1.48825642140342,0.513418671849126
"79785","RERGL",6,-2.08426191651363,0.236860992078749,1.37408376041232e-18,1.62853174145809e-15,4.55886821754874e-05,1.7213971887756e-07,-1.30244467541986,0.359474936980212
"5361","PLXNA1",7,1.92196627298236,0.219965916664737,2.38190771617915e-18,2.55977548243897e-15,0,0,0.901217825507649,0.194482964434275
"5010","CLDN11",7,-1.92647613596123,0.220520146036536,2.41392367313582e-18,2.55977548243897e-15,9.04206345676444e-05,3.32536352214997e-07,-1.0203643539006,0.304507039661723
"26502","NARF",7,1.92015901325241,0.220073094014438,2.65953412489083e-18,2.67921467741502e-15,0.00182092688981867,6.61997285570291e-06,0.80684891685983,0.161818492317427
"64943","NT5DC2",7,1.88843148054079,0.217778082109364,4.27000921153921e-18,4.03790070407709e-15,0,0,1.1459340836819,0.188489004537198
"84790","TUBA1C",7,1.92943939141862,0.222600880182976,4.40906370308199e-18,4.03790070407709e-15,3.19859787825317e-05,1.21154953999276e-07,1.06319018824108,0.264960600689156
"5034","P4HB",6,2.01730736525822,0.23318193810696,5.09534587810697e-18,4.46352298922171e-15,0.000673188904825182,2.41451228555786e-06,0.98540818297862,0.0876551071110813
"1272","CNTN1",7,-1.85299721188548,0.21723461667066,1.46429665716901e-17,1.22927704369338e-14,0,0,-0.887299042988477,0.173603718106924
"51154","MRTO4",7,1.85755213092713,0.219705783571374,2.79744232903927e-17,2.25451472181933e-14,0.000137454046630114,5.09485867781353e-07,0.691892766746998,0.0867171712311605
"10856","RUVBL2",7,1.81011248103447,0.215469752925509,4.4354911814528e-17,3.43716447399658e-14,0,0,0.695158005900264,0.128661085437827
"5244","ABCB4",6,-1.89537977624929,0.226002749466983,5.00684312956239e-17,3.73621760646011e-14,0,0,-0.410616454796296,0.0733793303725654
"2932","GSK3B",7,1.98210854347636,0.23682750457636,5.79031657248473e-17,4.16654636794366e-14,11.1205345357194,0.0444238984449401,0.979839032630484,0.128155693787357
"6472","SHMT2",7,2.23551843724421,0.267623654859437,6.642850366311e-17,4.615177557946e-14,19.6302268275181,0.0976078431828624,1.22171698283296,0.116661062768138
"23371","TNS2",7,-1.85596183796972,0.222756895598208,7.96346519855148e-17,5.34826322734717e-14,0,0,-0.976520908025144,0.251619681468073
"23498","HAAO",6,-1.88075296371302,0.22676287146599,1.09576777087725e-16,7.12178356375314e-14,0,0,-0.338710844058549,0.0569187707196259
"5630","PRPH",7,-1.79740500493707,0.216992644953483,1.19855289102873e-16,7.54638864013966e-14,0.000986671343526294,3.47118004997515e-06,-0.895905814305095,0.245762010277531
"10194","TSHZ1",6,-2.21868882156324,0.269188294850533,1.69151116107555e-16,1.03274445070758e-13,0.00021530191264198,1.06982749798002e-06,-1.19922635815215,0.22625570127915
"79081","LBHD1",7,1.79179329410304,0.218185537558278,2.17089052924749e-16,1.28644418774348e-13,0.000432550678903391,1.55624183721387e-06,0.666796674058601,0.102745170374994
"7264","GFUS",7,1.74759937985513,0.213952232270529,3.13088259368289e-16,1.80231492850065e-13,0,0,0.926637019957541,0.138264902704423
"57659","ZBTB4",6,-2.1999655171053,0.269844036700889,3.55800003254835e-16,1.99129401821622e-13,0,0,-1.15087792923125,0.140018939188771
"23731","TMEM245",6,-2.16146090814796,0.266269803004266,4.75652519474443e-16,2.59012080064083e-13,0.000433823315162684,2.10039369908726e-06,-1.16090592582557,0.10201079254537
"113612","CYP2U1",6,-2.08368434930466,0.25717325430727,5.39478782795307e-16,2.8025504477042e-13,0,0,-0.899782749493335,0.131190670752329
"3654","IRAK1",7,1.77248974081104,0.218783117420405,5.42482963373357e-16,2.8025504477042e-13,0.000678965752882119,2.46543926133654e-06,0.776784332761274,0.127699207630333
"6676","SPAG4",7,1.77615758294837,0.219533231270417,5.93670424931764e-16,2.9903179303813e-13,3.46746029962154e-05,1.28492433569009e-07,1.38404067315487,0.277502582337543
"3977","LIFR",6,-2.40212853681428,0.299426734392151,1.03677654550154e-15,5.09487166799148e-13,28.1522959521015,0.146780394970979,-1.28231350890631,0.332059407007573
"10682","EBP",7,1.74438455525036,0.218485836559106,1.41699471718909e-15,6.79752608617281e-13,0.000198833473830667,7.27777078845739e-07,0.929790950465975,0.228535094729255
"316","AOX1",6,-1.83213169171872,0.231025937365508,2.18413752000618e-15,1.02339541286243e-12,0.000184467945060807,6.63028563103823e-07,-1.43864416143805,0.242052872202139
"29844","TFPT",7,1.73556753957313,0.219153284253835,2.38615456991663e-15,1.0926418698791e-12,0.000690199431922993,2.55265526071643e-06,0.779048347944926,0.126350654220664
"10051","SMC4",7,1.72028099692313,0.217318802788078,2.45406528972648e-15,1.09876683238687e-12,0.000233422523829095,8.42880850174085e-07,1.24973575871497,0.11961190989391
"9601","PDIA4",7,1.67945834252273,0.212376055590523,2.61670628162274e-15,1.14611735135076e-12,0,0,0.979275222206961,0.10874069681391
"23704","KCNE4",6,-1.75646134882379,0.222282531482683,2.74614218066925e-15,1.17721856715157e-12,0,0,-0.370491595195967,0.0516655787445601
"8654","PDE5A",7,-1.76757035680959,0.223825246135631,2.85467280468935e-15,1.19824890976836e-12,4.18896197266786,0.0156070173258374,-1.12095082813241,0.343784658477208
"64960","MRPS15",7,1.68143321246574,0.213055994754834,2.97434292932325e-15,1.22300125183683e-12,0.00129404685863491,4.41437668629463e-06,0.560076227042332,0.0599037771873224
"2157","F8",7,-1.69579509407581,0.215056096504531,3.13625907993907e-15,1.26378695885225e-12,0.000615816079466693,2.15856389943779e-06,-0.709639872333125,0.211344568475945
"5373","PMM2",7,2.14314238737274,0.272216320206887,3.4640655866338e-15,1.34220198732635e-12,25.1020169322327,0.126654779865351,0.895182726486098,0.123846897128478
"9158","FIBP",7,1.86805232387071,0.237275129999627,3.46409089442974e-15,1.34220198732635e-12,11.139725345672,0.0447258019650456,0.662101179825708,0.107405631082082
"84709","MGARP",5,-2.21691040574371,0.283392427370615,5.1678354113544e-15,1.9645575069428e-12,0.000255444451007165,1.19636886280981e-06,-0.61392545554664,0.197818607507521
"7371","UCK2",7,1.70763214371756,0.218594433830233,5.63439357132456e-15,2.10225484583421e-12,1.6466168491071e-06,6.06342337971017e-09,1.16396208636506,0.207566073302093
"57130","ATP13A1",7,1.68405288056658,0.215673518710532,5.79445652497554e-15,2.12266745573104e-12,0.000234945374240976,8.28499392486475e-07,0.669583016888789,0.124842407277229
"51629","SLC25A39",6,2.03944628019496,0.261310981935914,5.96568991412938e-15,2.12463046452305e-12,0,0,0.772700467065822,0.0791969264080932
"8480","RAE1",7,1.67969101802941,0.21524227291626,6.01071751428499e-15,2.12463046452305e-12,1.37533111304223e-05,4.78630107993122e-08,0.684509346468647,0.135895607475644
"8703","B4GALT3",7,1.68321892448146,0.216085435383546,6.72221126828385e-15,2.33515711436867e-12,0.0017000819411077,6.03617108206231e-06,1.01137215325096,0.175951208016775
"3778","KCNMA1",7,-1.68856117443764,0.217218538132314,7.63109400050007e-15,2.60595393088263e-12,0,0,-0.711403803646671,0.163578202346478
"705","BYSL",7,1.65605629849894,0.213098608342697,7.76757888141196e-15,2.60835298837814e-12,0.000696748588258988,2.37656702459044e-06,0.669074714282474,0.136221408640412
"51514","DTL",7,1.66945210701985,0.215164016118826,8.56188845894484e-15,2.82794965034132e-12,0,0,1.34781368446883,0.222297676891688
"5649","RELN",6,-1.7554446821646,0.226829296126808,1.00157465023131e-14,3.2547945246549e-12,0.000672255211615432,2.30350837793433e-06,-0.865768970590789,0.234460047065156
"1063","CENPF",7,1.67216784000869,0.216295112587187,1.0674252976258e-14,3.41372776135945e-12,0.000486961146445225,1.75793514046599e-06,2.00106402498317,0.327671125140767
"70","ACTC1",7,-1.79553160190488,0.232437991584121,1.12049514856101e-14,3.52745878956362e-12,0,0,-4.13524359997481,1.08864137360734
"6659","SOX4",7,1.79746422978991,0.232981479702135,1.20932922073474e-14,3.74854848297900e-12,7.30073727245899,0.028942775310448,1.13540201207178,0.199196387140805
"4729","NDUFV2",7,1.64397508226068,0.213206024651313,1.25095517540359e-14,3.79224095565387e-12,0,0,0.527432587005288,0.108950161768
"51547","SIRT7",6,1.75169305680026,0.227206176198346,1.26106881094307e-14,3.79224095565387e-12,1.96806645069538e-05,6.61426741022094e-08,0.715697114756283,0.1592658563023
"80308","FLAD1",7,1.84389761284277,0.239305479072618,1.30634102307571e-14,3.8170629185742e-12,13.4961113761687,0.054834104935322,0.897309873683354,0.132283227213052
"6182","MRPL12",7,1.82090737302236,0.236324364748893,1.30721332827883e-14,3.8170629185742e-12,10.6856555262013,0.042703363030779,0.708975311939346,0.137607184377955
"11284","PNKP",7,1.63640906504079,0.212433286048135,1.32734774283531e-14,3.82048604609226e-12,0,0,0.692461316360328,0.158508761749275
"7102","TSPAN7",7,-1.71555675791093,0.22300872874461,1.43973620380554e-14,4.08560634285548e-12,5.67304413610962,0.0207466425335397,-1.21394549756996,0.16717951113526
"54512","EXOSC4",7,1.66644939843485,0.216939443661013,1.57072105895107e-14,4.3954010966314e-12,0.000318987367505139,1.14408077320666e-06,0.816350750852254,0.177852941805699
"57418","WDR18",7,1.64647991125948,0.214579322869754,1.67941540406093e-14,4.63518651520816e-12,1.40834229083934,0.00485863124114691,0.624934811494496,0.083848973936981
"10535","RNASEH2A",7,1.6309752014478,0.2140075457276,2.51502091408859e-14,6.84765424014283e-12,0,0,1.16041478578929,0.176063047087585
"220965","FAM13C",6,-1.7324754629901,0.227618266707677,2.71310586014714e-14,7.25258682403264e-12,0.00226158003207676,7.76358760836596e-06,-0.52216164655769,0.166535386176271
"114815","SORCS1",6,-2.67199549025602,0.351147487545152,2.75530287607654e-14,7.25258682403264e-12,25.4647769966673,0.184687684821787,-1.25256595783149,0.22645104755289
"991","CDC20",7,2.31453089247377,0.304201041383036,2.77173508760429e-14,7.25258682403264e-12,32.6191786231237,0.197419173178014,2.7519201629167,0.460098958344809
"23336","SYNM",7,-2.25500927289096,0.297244136333687,3.2894707793855e-14,8.49695605936654e-12,28.7523433898494,0.168054429627022,-3.29914648887353,0.55498820107646
"64641","EBF2",6,-1.72112118676969,0.227026412757427,3.42506517449323e-14,8.73521685261893e-12,0.000208885240431101,7.09591796224306e-07,-0.26145157585787,0.0685036250709504
"10460","TACC3",7,1.64367281385922,0.216985867055238,3.59065540988732e-14,9.04306564980122e-12,0.000156695174858173,5.68359073052441e-07,1.29793091413529,0.251001295493578
"27341","RRP7A",7,1.61136260476999,0.212842880227297,3.71312279114355e-14,9.23604913530372e-12,0,0,0.687611826957741,0.149367407095398
"81875","ISG20L2",7,1.59694401363261,0.211082817794448,3.86418391686993e-14,9.2461882077926e-12,0,0,0.571594431665904,0.099906560493151
"3899","AFF3",7,-1.8910173306143,0.249961916428288,3.87203454882297e-14,9.2461882077926e-12,12.1730632173231,0.0545881895459921,-1.43923478588112,0.532836669066929
"54915","YTHDF1",7,1.62743046484914,0.215134832824861,3.88760836530714e-14,9.2461882077926e-12,2.10855720343335,0.00714808506821526,0.529431509336004,0.0960029625147591
"9920","KBTBD11",7,-1.62056466730256,0.214239660836623,3.90076433225318e-14,9.2461882077926e-12,0.00185171132389513,6.4789238162768e-06,-1.02615794841632,0.236377055186189
"4174","MCM5",7,1.60589091358918,0.212728242707993,4.38527256042657e-14,1.02737757613343e-11,0,0,0.873360531803909,0.121294467181946
"23214","XPO6",7,1.60195304636744,0.212769772000081,5.11130281926764e-14,1.18370723221384e-11,0,0,0.481992128804502,0.0780729655844592
"89795","NAV3",6,-2.18444259104403,0.290315253111207,5.29706492523014e-14,1.21278709219928e-11,30.6042690202709,0.150909366359956,-0.790147381141363,0.119504224015307
"5915","RARB",7,-2.2881624521091,0.304634749248218,5.86026107368058e-14,1.32665775407322e-11,31.2516152442156,0.191799877808245,-1.2851608779295,0.316805424910305
"9343","EFTUD2",6,2.27843614106228,0.303638974990291,6.20094539905263e-14,1.38067819129403e-11,16.2363281660268,0.0919859673079511,0.850127562262242,0.0764189751143402
"4223","MEOX2",6,-1.69556467609208,0.225984000525606,6.23593981575127e-14,1.38067819129403e-11,3.80203365230883e-06,1.29537759008173e-08,-0.723348533221519,0.214708072313831
"23500","DAAM2",7,-1.60299936310578,0.214238886434882,7.30336568341668e-14,1.59943708466825e-11,0.000346994462010449,1.20161544954303e-06,-0.930800573350199,0.184128085549834
"3779","KCNMB1",7,-1.65071520778768,0.220884293453366,7.82604617779673e-14,1.69547503645428e-11,0.000587959705907226,2.2300173181386e-06,-2.19160554302609,0.796757338459714
"2194","FASN",7,1.59595197039022,0.214044690596573,8.90789497294515e-14,1.90932199909467e-11,0.0014136810166165,4.94633494588952e-06,1.35701463182939,0.220158872113002
"10204","NUTF2",7,1.58406260148548,0.212845609313485,9.89411312973767e-14,2.09838517197847e-11,0.000467951271248206,1.60505150143536e-06,0.729548090621346,0.104109755729018
"23246","BOP1",7,1.55360437765684,0.208873340229236,1.0220449492361e-13,2.14501683720927e-11,0,0,0.775402255687203,0.201086770350287
"5101","PCDH9",6,-1.67243855212025,0.225587690752782,1.22827328526521e-13,2.55126290221892e-11,0.000536508505916958,1.81454511497e-06,-0.733447822525867,0.13661260124299
"25849","PARM1",7,-1.56959762231621,0.211804890240751,1.2574582554169e-13,2.58523152348364e-11,0,0,-1.52835462847618,0.322832844939673
"3014","H2AX",6,1.94210228199368,0.262835184066902,1.47881703616312e-13,3.00961673177924e-11,0,0,1.16882100629144,0.116259035305704
"11041","B4GAT1",7,-1.60288537283022,0.217523233709463,1.7216972586676e-13,3.46887563676348e-11,9.94583092963113e-05,3.64554504729074e-07,-0.803752042579688,0.202023448141513
"7718","ZNF165",7,1.57085201150299,0.213587313325377,1.91481194714791e-13,3.78365090398389e-11,0.00101147148533913,3.49969111189234e-06,1.04219895869686,0.204637250478387
"5166","PDK4",7,-1.57678959610327,0.214396014606426,1.91548735460769e-13,3.78365090398389e-11,0.000390665865047371,1.38198570777833e-06,-1.57129790713205,0.372383367355297
"10445","MCRS1",7,1.54208538432801,0.211106704335316,2.77746668140695e-13,5.43304841718323e-11,0,0,0.458369735810373,0.0811303796928197
"2774","GNAL",6,-1.88412400529038,0.257991211293199,2.81306124788131e-13,5.44976519445313e-11,14.3153700275874,0.0584526695480071,-0.476903044181156,0.0649584440721362
"9146","HGS",7,1.5301413276783,0.209591288568424,2.86495743245299e-13,5.49744403324407e-11,0,0,0.525931887641009,0.133659958316638
"55009","FAM174C",7,1.54024553095129,0.211232100207593,3.06020496515572e-13,5.81669902244882e-11,0,0,0.484242906017977,0.0885393805678773
"3149","HMGB3",7,1.57813169417125,0.216499758780514,3.11569549665721e-13,5.86682550155603e-11,0.00044150582644361,1.59978337555928e-06,1.29368613169913,0.233359766155361
"79016","DDA1",7,1.54171041441411,0.211629006152661,3.21748053976048e-13,6.00238869584206e-11,0.00052694899051213,1.77781179997996e-06,0.623002579425188,0.0715705891417559
"9833","MELK",7,1.55948834353819,0.214289855874655,3.4013453909254e-13,6.28718412260228e-11,0,0,1.53815547010126,0.237479686283606
"79750","ZNF385D",7,-1.53725576925419,0.211288603815086,3.4483085806517e-13,6.31604738936095e-11,0,0,-0.452284034818414,0.0535275363968093
"441094","NR2F1-AS1",4,-2.2083933428656,0.3036663397067,3.53067709014207e-13,6.40865603713356e-11,2.6810500215705e-06,1.24643120718109e-08,-0.340285426147793,0.0700322460596722
"79415","CYBC1",7,1.53628419968597,0.211358347209602,3.63169672543634e-13,6.53316300215102e-11,0,0,0.601182582673046,0.108107495709416
"6844","VAMP2",7,-1.67756396657197,0.231233526954846,4.02114735959912e-13,7.1697413275401e-11,9.4955697194884,0.0367967494508556,-0.541228406952102,0.0833824236744418
"5239","PGM5",7,-1.57688249696195,0.217581595734064,4.25112570242392e-13,7.51330532038922e-11,0.00108032042270208,3.99145929733627e-06,-3.00771591326711,0.969191859370822
"401152","ARLN",6,-1.84254713227991,0.255296193632663,5.3033089028673e-13,9.29139719782351e-11,0.000677657798011248,2.9150082807243e-06,-1.03455949258328,0.227162925850065
"2549","GAB1",6,-1.57608423428998,0.218492307589403,5.4550113015713e-13,9.47479031931539e-11,0,0,-0.586192849702349,0.073020478256195
"11095","ADAMTS8",6,-1.58688037144232,0.220196013167608,5.73360239706085e-13,9.81816273015809e-11,0,0,-0.904385658170621,0.308386368797163
"4176","MCM7",7,2.16424239703923,0.300327323323474,5.75016479133738e-13,9.81816273015809e-11,36.1452804652049,0.219356679614368,1.07414950332025,0.10087473210227
"63875","MRPL17",7,1.50834253919997,0.20955801319753,6.12220643144487e-13,1.03655643009035e-10,0.000614561887535568,2.00194503555534e-06,0.503907527676162,0.0823506105028082
"10262","SF3B4",7,1.80517522713795,0.251212399834661,6.67891659394203e-13,1.12139009612287e-10,18.7353648812001,0.082312429881296,0.631979487775211,0.113463875500286
"9569","GTF2IRD1",7,1.52740460828773,0.212907265932197,7.2817904293913e-13,1.21250837662294e-10,0.000467232829096623,1.59768241660807e-06,0.578676567848107,0.0652590152856736
"92293","TMEM132C",4,-2.18175141877446,0.304194238467995,7.37851737223851e-13,1.21854400013001e-10,6.47775832757673e-05,3.04022994477251e-07,-0.630355502121226,0.226049476213754
"79682","CENPU",6,1.61819151579981,0.225884043310977,7.84622280007609e-13,1.28113556393486e-10,0.000332866608674146,1.13210513642401e-06,1.40804610314417,0.273754798250532
"118429","ANTXR2",6,-1.90077242178193,0.265354456989175,7.88469376255322e-13,1.28113556393486e-10,1.10425051543888e-05,5.35775935577315e-08,-2.12589056394476,0.547137549592684
"4254","KITLG",7,-1.51739001660333,0.211932122954472,8.07992900885357e-13,1.30235527736305e-10,0.000660641622444807,2.2334841613532e-06,-0.799019238522253,0.262154600022162
"1945","EFNA4",7,1.50641392707937,0.210760712882826,8.83672322802481e-13,1.4058461081878e-10,0.000211707512071089,7.11038590525953e-07,0.888366905369484,0.1637917894732
"9172","MYOM2",7,-1.54583855185456,0.21628822571833,8.86154733670094e-13,1.4058461081878e-10,0.000224187008990616,8.04560145571738e-07,-0.917173996223892,0.27451794971229
"9636","ISG15",7,1.49885121202489,0.209746368859205,8.93317086646177e-13,1.406136926699e-10,0,0,1.41898517925254,0.333210692457525
"92312","MEX3A",5,1.94849403374824,0.272795665498192,9.152392511526e-13,1.42742420730932e-10,0,0,0.973728386149256,0.206525892498051
"9918","NCAPD2",7,1.52327620896075,0.213289543789873,9.21010258835673e-13,1.42742420730932e-10,0.0013168094230665,4.52452848448381e-06,0.892218111273066,0.112024149539813
"23560","GTPBP4",7,1.50148264683138,0.210407089043855,9.60273896778581e-13,1.47691591391564e-10,0,0,0.759373767860043,0.0935822178680209
"8625","RFXANK",7,1.59596044446682,0.22402190285799,1.04742575826512e-12,1.58891084059292e-10,5.54424527094473,0.0203737832832924,0.481653560971168,0.116256460201555
"653784","MZT2A",5,1.67048627576998,0.23448917281044,1.04886411454665e-12,1.58891084059292e-10,0.00168807196421237,5.01217970076096e-06,0.636115441846496,0.217797723546961
"65985","AACS",7,1.5137371434835,0.212783421439131,1.12742962201924e-12,1.69008817750884e-10,0,0,0.505900628672804,0.0861146292234626
"81849","ST6GALNAC5",7,-1.54143111514315,0.216694908747246,1.13242954121348e-12,1.69008817750884e-10,0.000633492991979562,2.29168593204192e-06,-0.836814068650581,0.258109595480102
