"from","to","combined_score","from_name","to_name"
"9606.ENSP00000167586","9606.ENSP00000167588",425,"KRT14","KRT20"
"9606.ENSP00000199764","9606.ENSP00000216336",457,"CEACAM6","CTSG"
"9606.ENSP00000216336","9606.ENSP00000243924",446,"CTSG","PI3"
"9606.ENSP00000228843","9606.ENSP00000247191",884,"RAD51AP1","DLGAP5"
"9606.ENSP00000209668","9606.ENSP00000249750",832,"ADH1A","ALDH1A2"
"9606.ENSP00000228843","9606.ENSP00000251496",911,"RAD51AP1","NCAPG"
"9606.ENSP00000247191","9606.ENSP00000251496",948,"DLGAP5","NCAPG"
"9606.ENSP00000221486","9606.ENSP00000253462",520,"RNASEH2A","GINS2"
"9606.ENSP00000228843","9606.ENSP00000253462",649,"RAD51AP1","GINS2"
"9606.ENSP00000247191","9606.ENSP00000253462",720,"DLGAP5","GINS2"
"9606.ENSP00000251496","9606.ENSP00000253462",852,"NCAPG","GINS2"
"9606.ENSP00000005178","9606.ENSP00000256104",530,"PDK4","FABP4"
"9606.ENSP00000221486","9606.ENSP00000256442",461,"RNASEH2A","CCNB1"
"9606.ENSP00000228843","9606.ENSP00000256442",618,"RAD51AP1","CCNB1"
"9606.ENSP00000247191","9606.ENSP00000256442",965,"DLGAP5","CCNB1"
"9606.ENSP00000251496","9606.ENSP00000256442",962,"NCAPG","CCNB1"
"9606.ENSP00000253462","9606.ENSP00000256442",643,"GINS2","CCNB1"
"9606.ENSP00000233813","9606.ENSP00000259206",571,"IGFBP5","IL1RN"
"9606.ENSP00000228843","9606.ENSP00000260731",864,"RAD51AP1","KIF11"
"9606.ENSP00000247191","9606.ENSP00000260731",997,"DLGAP5","KIF11"
"9606.ENSP00000251496","9606.ENSP00000260731",975,"NCAPG","KIF11"
"9606.ENSP00000253462","9606.ENSP00000260731",585,"GINS2","KIF11"
"9606.ENSP00000256442","9606.ENSP00000260731",966,"CCNB1","KIF11"
"9606.ENSP00000228843","9606.ENSP00000261366",505,"RAD51AP1","LMNB1"
"9606.ENSP00000247191","9606.ENSP00000261366",414,"DLGAP5","LMNB1"
"9606.ENSP00000256442","9606.ENSP00000261366",725,"CCNB1","LMNB1"
"9606.ENSP00000260731","9606.ENSP00000261366",521,"KIF11","LMNB1"
"9606.ENSP00000209668","9606.ENSP00000261733",975,"ADH1A","ALDH2"
