Rank,Gene_Symbol,Entrez,Biomarker_Score,Total_Articles,Biomarker_Articles,Diagnostic_Articles,ROC_AUC_Articles,Urine_Articles,Prognostic_Articles,Validation_Articles,Expression_Articles
1,TUBA1C,84790,92.6777491050664,2,1,0,1,0,2,0,2
2,DTL,51514,90.8239356021208,4,2,1,1,1,3,1,3
3,CENPF,1063,89.0543667143499,8,3,3,2,2,5,1,8
4,PPP1R14B,26472,86.8952918239992,1,0,0,0,1,0,0,0
5,H2AX,3014,86.4618540283077,42,4,1,6,10,9,4,21
6,TACC3,10460,86.2542618698994,39,3,1,4,8,6,5,16
7,SLC52A2,79581,86.1915179818169,0,0,0,0,0,0,0,0
8,RNASEH2A,10535,85.2500428872219,0,0,0,0,0,0,0,0
9,HMGB3,3149,83.8484559568832,4,0,0,0,1,2,0,4
10,SHMT2,6472,83.7716650954437,9,2,2,1,6,6,1,7
11,SMC4,10051,83.3922257841946,1,0,0,1,0,0,0,1
12,MELK,9833,83.3880933754507,6,4,0,1,1,5,0,6
13,CKAP2L,150468,83.3773902197097,2,1,1,0,0,0,0,2
14,PDIA4,9601,82.7012563828828,1,0,0,0,0,0,0,1
15,CDC20,991,82.5664230948943,34,16,12,10,8,22,7,27
16,SOX4,6659,82.3621101809207,17,6,1,3,4,8,1,15
17,SKA3,221150,80.5076814486971,2,2,1,0,0,2,0,2
18,UHRF1,29128,80.0162240652754,13,2,1,2,2,7,1,12
19,AURKB,9212,79.749916972454,29,11,6,8,6,18,5,24
20,TOP2A,7153,79.5788605680261,39,14,10,7,15,17,7,29
