"gene","significance_GSE13507","significance_GSE3167","significance_GSE37817","significance_GSE52519","significance_GSE65635","significance_GSE7476","significance_GSE76211","score"
"1","not significant",NA,NA,NA,NA,"not significant","not significant",0
"10","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"100","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"1000","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"10000","not significant","not significant","not significant",NA,"not significant","significant","not significant",0.122448979591837
"100008586",NA,NA,NA,NA,NA,NA,"not significant",0
"100008587",NA,NA,NA,NA,NA,NA,"not significant",0
"100008588",NA,NA,"not significant",NA,"not significant",NA,NA,0
"100008589","significant",NA,NA,NA,"not significant",NA,NA,0.0408163265306122
"100009676",NA,NA,NA,NA,"not significant","not significant","not significant",0
"10001","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"10002","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"10003","significant","not significant","significant",NA,"significant","not significant","not significant",0.36734693877551
"100033413",NA,NA,NA,NA,NA,NA,"not significant",0
"100033414",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100033415",NA,NA,NA,NA,NA,NA,"not significant",0
"100033416",NA,NA,NA,NA,"not significant",NA,NA,0
"100033417",NA,NA,NA,NA,NA,NA,"not significant",0
"100033419",NA,NA,NA,NA,NA,NA,"not significant",0
"100033420",NA,NA,NA,NA,NA,NA,"not significant",0
"100033421",NA,NA,NA,NA,NA,NA,"not significant",0
"100033422",NA,NA,NA,NA,NA,NA,"not significant",0
"100033423",NA,NA,NA,NA,NA,NA,"not significant",0
"100033424",NA,NA,NA,NA,NA,NA,"not significant",0
"100033425",NA,NA,NA,NA,"not significant",NA,"not significant",0
"100033426",NA,NA,NA,NA,NA,NA,"not significant",0
"100033427",NA,NA,NA,NA,NA,NA,"not significant",0
"100033428",NA,NA,NA,NA,NA,NA,"not significant",0
"100033429",NA,NA,NA,NA,NA,NA,"not significant",0
"100033430",NA,NA,NA,NA,NA,NA,"not significant",0
"100033431",NA,NA,NA,NA,NA,"not significant","not significant",0
"100033434",NA,NA,NA,NA,NA,NA,"not significant",0
"100033435",NA,NA,NA,NA,NA,NA,"not significant",0
"100033436",NA,NA,NA,NA,NA,NA,"not significant",0
"100033437",NA,NA,NA,NA,NA,NA,"not significant",0
"100033438",NA,NA,NA,NA,NA,NA,"not significant",0
